,Title,Date,Sentiment_VADER,Sentiment_TextBlob,Sentiment_Average
44,"Toyota, VW are plotting to beat Tesla, pour billions into electric cars - Business Standard",2022-01-05,0.0,0.0,0.0
43,Coast to Coast in a Tesla Model Y - CleanTechnica,2022-01-05,0.0,0.0,0.0
42,Paperwork shows Austin's Tesla Gigafactory nearing an opening date - KVUE.com,2022-01-05,0.0,0.0,0.0
41,Nikola drops $2 bln patent lawsuit against Tesla over truck design - Reuters,2022-01-05,-0.2263,0.0,-0.11315
39,ONE Gemini Battery Doubles Tesla Model S Range to 752 Real Miles - MotorTrend,2022-01-05,0.0,0.2,0.1
38,Novi battery maker sends Tesla S to the U.P. and back on one charge - Detroit Free Press,2022-01-05,0.5106,0.2,0.35530000000000006
37,U.S. automakers line up EV models to take on Tesla - Reuters,2022-01-05,0.0,0.0,0.0
40,“Our Next Energy” Tests Its 750-Mile Range Prototype Battery In A Tesla Model S - CleanTechnica,2022-01-05,0.0,0.0,0.0
52,Tesla’s updated Model 3 and Model Y Owner’s Manual hints at ventilated seats - TESLARATI,2022-01-06,0.0,0.0,0.0
56,Moraine will be home to Tesla's fifth service center in Ohio - Dayton Daily News,2022-01-06,0.0,-0.05,-0.025
55,Tesla Model 3 Was 2nd Best Selling Car (Of Any Kind) In UK In 2021 - CleanTechnica,2022-01-06,0.6369,0.5333333333333333,0.5851166666666667
53,Nikola Motors drops its $2 billion lawsuit against Tesla - Engadget,2022-01-06,-0.2263,0.0,-0.11315
51,Tesla's cameras-only autonomous system stirs controversy - Tech Xplore,2022-01-06,0.0,0.4,0.2
54,How Much Does A Tesla Model X Cost? - TopSpeed,2022-01-06,0.0,0.2,0.1
49,This Tesla Model S can run 1210 km with a third-party battery: Know details here - HT Auto,2022-01-06,0.0,0.0,0.0
46,Breakingviews - Moderna's boosted valuation has Tesla-like spin - Reuters,2022-01-06,0.3612,0.0,0.1806
47,Can Tesla Profit From Its Insurance Business? - Investopedia,2022-01-06,0.4404,0.0,0.2202
50,Why Tesla Stock Just Keeps Falling - The Motley Fool,2022-01-06,-0.5423,0.6,0.028849999999999987
48,This Tesla Traveled 752 Miles On A Single Charge - Here's How - Screen Rant,2022-01-07,-0.34,-0.07142857142857142,-0.20571428571428574
64,Why Rich Rebuilds Wants To Put A Cummins Diesel In Tesla Model 3 - HotCars,2022-01-07,0.5574,0.2875,0.42245
63,The 2024 Chevrolet Equinox EV Looks To Dethrone The Tesla ... - HotCars,2022-01-07,0.0,0.0,0.0
62,Tesla's Market Share Takes a Dent - Statista,2022-01-07,0.296,0.0,0.148
61,This Tesla Model Y Dummy Crash Shows Exactly Why LIDAR Matters - The Drive,2022-01-07,-0.3818,0.25,-0.06589999999999999
65,"Galaxy A52, A72 e Note 10 Lite recebem Android 12 - TecMundo",2022-01-07,0.0,0.0,0.0
59,Tesla Model S Plaid Gets a Dedicated Track Mode - Software Update - Road & Track,2022-01-07,0.4588,0.0,0.2294
58,Tesla Model S Plaid OTA Renders It Officially Track Active - MotorTrend,2022-01-07,0.4019,-0.13333333333333333,0.1342833333333333
57,"Elon Musk says Tesla will raise price of ""Full Self-Driving"" driver assistance to $12,000 - CNBC",2022-01-07,0.0,0.35,0.175
60,This 932000-Mile Tesla Model S Is Still Hanging In There - The Drive,2022-01-07,0.0,0.0,0.0
75,Nawet 1200 kilometrów na jednym ładowaniu. Akumulatory nowej ... - Francuskie.pl,2022-01-08,0.0,0.0,0.0
73,"Tesla prepares Model S Plaid for the racetrack with new Track Mode ... - Tesla Oracle - Elon Musk, Tesla, SpaceX News",2022-01-08,0.0,0.13636363636363635,0.06818181818181818
72,Tesla’s new ‘full self-driving’ technology tested in snow with disastrous results - Express,2022-01-08,-0.5994,-0.07121212121212121,-0.3353060606060606
71,How Does Tesla's China Growth Compare to Nio's? - The Motley Fool,2022-01-08,-0.0772,0.6,0.26139999999999997
70,CATL delivers first LFP cells to Tesla Giga Shanghai - www.electrive.com,2022-01-08,0.0,0.25,0.125
68,Tesla Announces Track Mode With Torque Vectoring For The Model S Plaid - CarScoops,2022-01-08,0.0,0.0,0.0
66,This Tesla owner says he mines up to $800 a month in cryptocurrency with his car - CNBC,2022-01-08,0.0,0.0,0.0
69,Tesla's Elon Musk Built a Tunnel Under Las Vegas (It's Both ... - TheStreet,2022-01-08,0.0,0.0,0.0
67,Tesla Removes All Cybertruck Production Date Information From Website - CarScoops,2022-01-08,0.0,0.0,0.0
84,Tesla Charges To The Rescue Of BMW M3 Floundering In Snow - CarScoops,2022-01-09,0.296,0.0,0.148
83,World's Only V8-Powered Tesla Makes Impressive Power - CarBuzz,2022-01-09,0.5106,0.5,0.5053000000000001
81,Me & My Model 3 Goin’ Cross-Country … - CleanTechnica,2022-01-09,0.0,0.0,0.0
82,Modified Tesla achieves 1200 kilometre range on one charge - RTE.ie,2022-01-09,0.0,0.0,0.0
80,How Long Can A Tesla Keep You Warm In A Frozen Traffic Jam? “Dirty Tesla” Finds Out [UPDATE] - CleanTechnica,2022-01-09,0.2263,-0.01666666666666668,0.10481666666666666
77,Chip shortage leaves Tesla and other electric car buyers in China ... - Yahoo Finance,2022-01-09,-0.25,-0.125,-0.1875
76,Tesla Owner Mines Up To $800 A Month In Crypto With His Car - CleanTechnica,2022-01-09,0.0,0.0,0.0
74,Une Tesla Model S a parcouru 1.200 km grâce à une nouvelle batterie - Futura,2022-01-09,0.0,0.0,0.0
78,"First Tesla Model Y spotted in UK ahead of deliveries, but is Australia launch any closer? - The Driven",2022-01-10,0.0,0.25,0.125
79,Tesla second only to BMW now in premium car sales in this key market: Report - HT Auto,2022-01-10,0.0,0.0,0.0
93,The New Solar Roof That Is Half The Price Of Tesla's - OilPrice.com,2022-01-10,0.0,-0.015151515151515152,-0.007575757575757576
92,PepsiCo to receive the first 15 Tesla Semi trucks in January - Global Fleet,2022-01-10,0.0,0.125,0.0625
91,What CCSD & Tesla have in common: Both employ a lot of Medicaid ... - Nevada Current,2022-01-10,0.0,-0.15,-0.075
90,"With New German Gigafactory, Tesla Looks To Build On Big Lead In Surging European EV Sales - Forbes",2022-01-10,0.0,0.03409090909090909,0.017045454545454544
94,Tesla Easily Keeps Passengers Warm for Entire 18 Hour Traffic Jam - Futurism,2022-01-10,0.5106,0.3444444444444444,0.42752222222222225
88,Analysis: How buoyant Tesla is defying global chip shortage - Supply Chain Digital,2022-01-10,-0.0258,0.0,-0.0129
87,Tesla Hikes Price of Full Self-Driving Package; Cybertruck Production Date Disappears - Cars.com,2022-01-10,-0.34,0.35,0.004999999999999977
86,We Should Assume That The Tesla Phone Is A Myth - CleanTechnica,2022-01-10,0.0,0.0,0.0
85,Proposed northern Minnesota nickel mine signs deal with Tesla - Star Tribune,2022-01-10,0.0,0.0,0.0
89,How Tesla owners can mine cryptocurrency with their cars - The Hill,2022-01-10,0.0,0.0,0.0
104,Elon Musk's Brilliant Hiring Strategy Uses the 2-Hands Test--Instead ... - Inc.,2022-01-11,0.5859,0.9,0.74295
103,"Tesla tops EV sales in Canada in 2021, Model 3 the fifth best selling ... - Drive Tesla Canada",2022-01-11,0.8176,1.0,0.9088
102,Michigan startup doubled a Tesla's range with special battery - Business Insider,2022-01-11,0.4019,0.35714285714285715,0.37952142857142857
101,Tesla’s most prominent Black executive steps down - The Mercury News,2022-01-11,0.3804,0.16944444444444445,0.27492222222222223
100,Travis County officials approve name change for Harold Green Road near Tesla Gigafactory - KVUE.com,2022-01-11,0.0,-0.05,-0.025
99,"Tesla unveils updated Model S with new headlights, taillights, and ... - Electrek",2022-01-11,0.0,0.13636363636363635,0.06818181818181818
97,"Tesla sold a record 70,847 China-made vehicles in December, China group says - CNBC",2022-01-11,0.0,0.0,0.0
96,Tesla signs deal to source nickel from Minnesota mine - KARE11.com,2022-01-11,0.0,0.0,0.0
95,Tesla setting lets you drive like a jerk - Axios,2022-01-11,0.0258,0.0,0.0129
98,Tesla Stock Rises After Analysts Boost Price Targets - Investopedia,2022-01-11,0.4019,0.0,0.20095
111,"Half of Tesla's global deliveries in 2021 came from Shanghai, China - Business Insider",2022-01-12,0.0,-0.08333333333333333,-0.041666666666666664
114,Tesla's Musk says 'working through challenges' with India government - Reuters,2022-01-12,0.0772,0.0,0.0386
113,Tesla loses head of human resources Valerie Capers Workman to ... - The Business Journals,2022-01-12,-0.3182,-0.15,-0.23409999999999997
110,Tesla's self-driving software has a special profile for 'assertive' drivers - Business Insider,2022-01-12,0.4019,0.35714285714285715,0.37952142857142857
106,Teen hacker claims ability to control 25 Teslas worldwide - Automotive News Europe,2022-01-12,0.3182,0.0,0.1591
108,"Driving Your Electric Car in Winter — Range & Tesla FSD Tips in Heavy Snow, Freezing Rain, -20℉ - CleanTechnica",2022-01-12,-0.1027,-0.2,-0.15135
107,19-year-old claims he hacked into over 25 Teslas in 13 countries - New York Post,2022-01-12,-0.4019,0.13636363636363635,-0.1327681818181818
109,California reviews whether Tesla's self-driving tests require ... - Reuters,2022-01-12,0.0,0.0,0.0
105,Teenager says he remotely hacked into more than 25 Teslas - Al Jazeera English,2022-01-12,-0.4019,0.13333333333333333,-0.1342833333333333
124,"Tesla's Cyberquad for kids selling for up to $4,000 on Ebay - Business Insider",2022-01-13,0.0,0.0,0.0
122,U.S. chip giant Nvidia is finding success in China by riding the country's EV boom - CNBC,2022-01-13,0.5719,0.15,0.36095
121,A Robocar Specialist Gives Tesla ‘Full Self-Drive’ An ‘F’ - Forbes,2022-01-13,0.0,0.35,0.175
120,California reviews whether Tesla’s self-driving tests require oversight - The Guardian,2022-01-13,0.0,0.0,0.0
119,Volkswagen falls further behind Tesla in the race to electric - CNN,2022-01-13,0.0,-0.2,-0.1
123,"Better Buy: Tesla or Equal Parts of Lucid, Rivian, Nio, and Ford? - The Motley Fool",2022-01-13,0.0,0.3666666666666667,0.18333333333333335
117,Canada opens probe into Tesla's heating system following ... - Reuters,2022-01-13,0.0,0.0,0.0
116,"Tesla to give update on Cybertruck, takes production date off website - Business Insider",2022-01-13,0.0,0.0,0.0
115,Exclusive: Tesla delays initial production of Cybertruck to early 2023 ... - Reuters,2022-01-13,0.128,0.05,0.089
112,"Elon Musk trying to put pressure; reduce import duty on Tesla, say govt sources - Business Today",2022-01-13,-0.296,0.0,-0.148
118,Teenage Hacker Gains Remote Control of 25 Teslas in 13 Countries - PCMag,2022-01-13,0.34,-0.05,0.14500000000000002
134,Tesla electric car showroom in Mishawaka appears to be dead - South Bend Tribune,2022-01-14,-0.6486,-0.2,-0.4243
133,Tesla Model Y structural battery pack referenced in updated Owner’s Manual - TESLARATI,2022-01-14,0.0,0.0,0.0
132,Tesla Track Mode: What Is It & What Cars Have It? - Screen Rant,2022-01-14,-0.34,0.0,-0.17
131,Here's the full list of the best-selling electric cars in China for 2021 - CNBC,2022-01-14,0.0,0.35,0.175
130,A Teenager Claimed He Remotely Hacked 25 Tesla cars - TheStreet,2022-01-14,-0.4019,-0.1,-0.25095
128,NHTSA evaluating potential safety concerns related to heating issue ... - Reuters,2022-01-14,0.4215,0.0,0.21075
127,Dogecoin jumps 9% after Elon Musk says it can be used to buy Tesla merchandise - CNBC,2022-01-14,0.0,0.0,0.0
126,Tesla now lets you buy some merch in Dogecoin - The Verge,2022-01-14,0.0,0.0,0.0
125,Musk says Tesla to accept dogecoin for merchandise - Reuters,2022-01-14,0.3818,0.0,0.1909
140,Cone-Killing Hyundai Ioniq 5 Can’t Match Tesla Model Y In Moose Test - CarScoops,2022-01-15,0.0,0.0,0.0
141,Tesla Gets Its Own Road In Texas - CarBuzz,2022-01-15,0.0,0.6,0.3
142,"After Android Auto, Apple's CarPlay Is Also Making Its Way to Tesla ... - autoevolution",2022-01-15,0.0,0.0,0.0
138,Tesla's Elon Musk Cuts Law Firm After It Won't Fire Lawyer in SEC ... - TheStreet,2022-01-15,-0.0423,-0.15000000000000002,-0.09615000000000001
139,Tesla Masterfully Avoided Microchip Crisis Thanks To Controlling Own Software; Record Sales In 2021 - Torque News,2022-01-15,-0.5574,0.6,0.021299999999999986
136,Tesla's Long History of Silencing Whistleblowers - Progressive.org - Progressive.org,2022-01-15,-0.128,-0.05,-0.089
135,"Tesla asked law firm to fire attorney who worked on Elon Musk probe at SEC, report says - CNBC",2022-01-15,-0.34,-0.15000000000000002,-0.24500000000000002
129,This Tesla Hack Could Give Someone 'Full Remote Control' Of Your ... - Screen Rant,2022-01-15,-0.34,0.12499999999999999,-0.10750000000000001
137,A Teen Took Control of Teslas by Hacking a Third-Party App - WIRED,2022-01-15,0.0,0.0,0.0
143,Elon Musk’s Tesla asked law firm to fire associate hired from SEC: WSJ - Fox Business,2022-01-16,-0.34,-0.15000000000000002,-0.24500000000000002
144,Michigan Startup’s Gemini Battery Powers Tesla For 752 Miles On A Single Charge - Forbes,2022-01-16,0.0,-0.07142857142857142,-0.03571428571428571
145,Elon Musk's 5-Word Response to a User Suggestion Is a Bad Sign ... - Inc.,2022-01-16,-0.5423,-0.6999999999999998,-0.6211499999999999
146,Is The Tesla Model Y Even Safer Than The Tesla Model 3? - CleanTechnica,2022-01-16,0.4215,0.0,0.21075
153,Why Tesla’s Elon Musk asked a partner at a law firm to fire an associate hired from the SEC - Financial News,2022-01-17,-0.34,-0.10000000000000002,-0.22000000000000003
2623,"Tesla Cybertruck Can Be Used As a Boat, Says Musk - Tesla ... - IoT World Today",2022-01-17,0.0,0.0,0.0
2312,California Passes Bill Targeting Tesla’s 'Full Self Driving' Feature - IoT World Today,2022-01-17,0.0,0.35,0.175
157,Tesla-Swapped Plymouth With Pushrod Suspension Is ... - The Drive,2022-01-17,0.0,0.0,0.0
156,Tesla Hit With Complaints Of Frozen Heating Systems In Cold ... - Screen Rant,2022-01-17,-0.6249,-0.6,-0.6124499999999999
155,Tesla travels 1200km on a single charge with breakthrough battery - The Independent,2022-01-17,0.0,-0.03571428571428571,-0.017857142857142856
154,Tesla rolls out new firmware in hopes to solve heat pump issues - TESLARATI,2022-01-17,0.5574,0.13636363636363635,0.3468818181818182
2202,Musk Says Tesla Optimus Robot Will Be ‘Cheaper Than a Car’ - IoT World Today,2022-01-17,0.0,0.0,0.0
151,Elon Musk says Tesla will roll out FSD beta in Canada in 2 to 4 weeks - Business Insider,2022-01-17,0.0,0.0,0.0
150,"As India waffles on terms for Tesla, several states woo Musk - Al Jazeera English",2022-01-17,0.4767,0.0,0.23835
149,Where Does Elon Musk Really Stand On Fighting Climate Change? - Forbes,2022-01-17,-0.4144,0.2,-0.10719999999999999
148,"Tesla deal decreases dependence on China for batteries, analysts say - USA TODAY",2022-01-17,0.0,0.0,0.0
147,"Now, Maharashtra and Punjab invite Elon Musk's Tesla to set up unit - Business Standard",2022-01-17,0.1531,0.0,0.07655
158,Felony charges are 1st in a fatal crash involving Autopilot - The Associated Press,2022-01-18,-0.8957,0.0,-0.44785
159,Tesla Accepts Dogecoin for Some Merchandise Sales - Investopedia,2022-01-18,0.3182,0.0,0.1591
162,Tech founder slams Tesla Full Self-Driving in full-page NYT ad - Business Insider,2022-01-18,0.0,0.35,0.175
163,Tesla owner is the first to face felony charges for deadly Autopilot crash - The Verge,2022-01-18,-0.8074,0.024999999999999994,-0.3912
164,Tesla is beating German automakers on their own turf even without Giga Berlin – Should they be scared? - Electrek,2022-01-18,-0.7096,0.3,-0.2048
152,"After flying start, Stellantis must tackle Tesla and China - Automotive News Europe",2022-01-18,0.0,0.0,0.0
175,Former SpaceX engineers raised $50 million to build a Tesla for freight trains - Fast Company,2022-01-19,0.0,0.1,0.05
177,Tesla to allow everyone to view their Safety Score - Not a Tesla App,2022-01-19,0.5719,0.0,0.28595
174,Tesla worker dies while on plant's powertrain line; state investigating - KTVU FOX 2 San Francisco,2022-01-19,0.0,0.0,0.0
161,"India, Tesla in 'weird stalemate' on tax cut demands with no investment pledge-sources - Reuters",2022-01-19,-0.6124,-0.5,-0.5562
169,"India, Tesla in 'weird stalemate' on tax cut demands with no investment pledge-sources - Reuters",2022-01-19,-0.6124,-0.5,-0.5562
165,Tesla worker dies while on plant's powertrain line; state investigating - KTVU FOX 2 San Francisco,2022-01-19,0.0,0.0,0.0
160,"The Machines That Build Machines, Porsche Vs Tesla - Forbes",2022-01-19,0.0,0.0,0.0
168,"The Machines That Build Machines, Porsche Vs Tesla - Forbes",2022-01-19,0.0,0.0,0.0
167,Tesla to allow everyone to view their Safety Score - Not a Tesla App,2022-01-19,0.5719,0.0,0.28595
166,Former SpaceX engineers raised $50 million to build a Tesla for freight trains - Fast Company,2022-01-19,0.0,0.1,0.05
170,Tesla looks to northern Minn. for nickel - E&E News by POLITICO,2022-01-20,0.0,0.0,0.0
187,Tesla Power USA enters wellness business with launch of Alkaline RO Water Purifiers - ThePrint,2022-01-20,0.4404,0.0,0.2202
186,"Tesla’s expansion in Xinjiang ‘sets a poor example’, say US lawmakers - The Guardian",2022-01-20,-0.4767,-0.4,-0.43835
185,"Tesla-rivalling Lucid Air with 1,111hp records 2.88sec 0-60mph time - Sunday Times Driving",2022-01-20,0.0,0.0,0.0
184,Autonomy Launches Tesla Model 3 EV Subscription Program - PR Newswire,2022-01-20,0.0,0.0,0.0
183,Tesla applies for a new trademark to sell its own audio equipment ... - Electrek,2022-01-20,0.0,0.36818181818181817,0.18409090909090908
181,Tesla looks to northern Minn. for nickel - E&E News by POLITICO,2022-01-20,0.0,0.0,0.0
180,Tesla Fremont factory employee dies while working on production line - The Mercury News,2022-01-20,0.0,0.0,0.0
179,"Tesla’s Plant in Germany Nears Completion, Raising Union Concern - The New York Times",2022-01-20,0.0,0.13636363636363635,0.06818181818181818
178,Our First Tesla Model Y Road Trip Started With a Flat Tire - Cars.com,2022-01-20,0.0,0.1125,0.05625
176,"Tesla’s expansion in Xinjiang ‘sets a poor example’, say US lawmakers - The Guardian",2022-01-20,-0.4767,-0.4,-0.43835
173,"Tesla applies for a new trademark to sell its own audio equipment, like headphones and more - Electrek",2022-01-20,0.3612,0.4121212121212121,0.38666060606060604
172,"Tesla’s Plant in Germany Nears Completion, Raising Union Concern - The New York Times",2022-01-20,0.0,0.13636363636363635,0.06818181818181818
171,Our First Tesla Model Y Road Trip Started With a Flat Tire - Cars.com,2022-01-20,0.0,0.1125,0.05625
182,Modi govt fancies a promise from Elon Musk before it gives what Tesla wants | Mint - Mint,2022-01-20,0.3182,0.2,0.2591
196,"Tesla Will Allow Everyone To See Their Safety Score, or So Elon ... - autoevolution",2022-01-21,0.5719,0.0,0.28595
197,Tesla Model X Plaid Goes POV Crazy With Insane Chiron Level 2.3 ... - autoevolution,2022-01-21,-0.6249,-0.8,-0.71245
195,"Outstanding Tesla Design: Model Y Even Safer Than Model 3 In Crash Tests, According to IIHS - Torque News",2022-01-21,0.6249,0.5,0.56245
191,Employee who died at Tesla plant in Fremont identified - KTVU FOX 2 San Francisco,2022-01-21,-0.5574,0.0,-0.2787
193,“Car And Driver” Does Its Own Tesla Cold Weather Tests - CleanTechnica,2022-01-21,0.0,0.0,0.0
192,Tesla Stock Earnings: Here's What Wall Street Expects - TheStreet,2022-01-21,0.0,0.0,0.0
190,"Tesla Model Y gets payload increase, new brakes and more [Update] - Drive Tesla Canada",2022-01-21,0.3182,0.3181818181818182,0.3181909090909091
188,Ten awesome used cars for the price of a new Tesla Model 3 - Top Gear,2022-01-21,0.7096,0.40909090909090906,0.5593454545454546
194,What Do You Think Of This Tesla Model 3 Cosplaying As Knight Rider’s K.I.T.T.? - CarScoops,2022-01-21,0.0,0.0,0.0
189,TrueCar Founder Starts Tesla Subscription Service - Jalopnik,2022-01-21,0.0,0.0,0.0
198,The Hyundai Ioniq 5 Just Beat The Tesla Model Y In Its First Head-To-Head Test - CarScoops,2022-01-22,0.0,0.25,0.125
199,Tesla vs the rest: which auto brand makes the EV charging process ... - TechRadar,2022-01-22,0.0,0.0,0.0
201,"Немецкие Tesla Model Y выглядят гораздо интереснее китайских. Названо большое преимущество автомобиля, собранного в Берлине - iXBT.com - новости техники и технологий",2022-01-22,0.0,0.0,0.0
202,"""Chega de contato"" com o Girondin Jean-Jacques Savin que partiu ... - Leiria Económica",2022-01-22,0.0,0.0,0.0
206,This Developer Found a Way to Run Apple CarPlay in Tesla Cars Using a Raspberry Pi - Beebom,2022-01-23,0.0,0.0,0.0
203,She’s On Her Second Tesla Model S - CleanTechnica,2022-01-23,0.0,0.0,0.0
200,Review: Driving AEM EV's Tesla-Swapped Ford Mustang - HotCars,2022-01-23,0.0,0.0,0.0
205,Austin drone operator captures intriguing first photos of Tesla Model Ys at Gigafactory Texas - Fox Business,2022-01-23,0.0,0.275,0.1375
214,Autonomy Turns to Tesla to Launch Subscription Service - Los Angeles Business Journal,2022-01-24,0.0,0.0,0.0
216,Answer Man: Tesla charging station in Biltmore Park? Sidewalk issue? - Citizen Times,2022-01-24,0.0,0.0,0.0
215,Tesla to kick off Model Y production in Germany in March - www.electrive.com,2022-01-24,0.0,0.0,0.0
213,"Elon Musk, Tesla Business in China, Xinjiang Points to Dark Future - Business Insider",2022-01-24,0.0,-0.075,-0.0375
208,Tesla's Cybertruck Has Changed - New Photos Reveal Design ... - Screen Rant,2022-01-24,-0.34,0.13636363636363635,-0.10181818181818184
211,Tesla strikes back at JPMorgan in legal fight tied to Elon Musk's take ... - Financial Times,2022-01-24,-0.5574,0.06666666666666667,-0.24536666666666668
210,"Tesla countersues JPMorgan, claims bank sought 'windfall' after ... - Reuters",2022-01-24,0.0,0.0,0.0
204,Tesla Model Y review: Dynamic E-SUV for two target groups - www.electrive.com,2022-01-24,0.3818,0.0,0.1909
207,Tesla Cybertruck walkaround video shows the absurdly huge ... - The Verge,2022-01-24,0.3182,0.4000000000000001,0.35910000000000003
212,Panasonic to start producing new Tesla batteries in 2023 - Nikkei Asia,2022-01-24,0.0,0.13636363636363635,0.06818181818181818
226,"CHARTS: Tesla v Volkswagen v BYD – battery power, lithium, nickel ... - MINING.com",2022-01-25,0.0,0.0,0.0
225,Tesla Insurance Customers Can Now Add Their Insurance Cards to ... - MacRumors,2022-01-25,0.0,0.0,0.0
224,Focus: Ford aims to be the Tesla of connected commercial vehicles - Reuters,2022-01-25,0.0,0.0,0.0
223,Tesla Earnings: What to Look For From TSLA - Investopedia,2022-01-25,0.0,0.0,0.0
221,19-year-old describes how he remotely hacked 25+ Teslas - Business Insider,2022-01-25,-0.4019,-0.1,-0.25095
220,"McDonald's says will accept dogecoin only if Tesla takes ""grimacecoin"" - Business Insider",2022-01-25,0.3818,0.0,0.1909
219,Elon Musk is about to get a lot richer - CNN,2022-01-25,0.5267,0.0,0.26335
218,Tesla's Cybertruck Was Inspired By 'Blade Runner' - Mentalfloss,2022-01-25,0.4939,0.0,0.24695
217,"Cybertrucks, new factories in focus as Tesla set to report record ... - Reuters",2022-01-25,0.0,0.13636363636363635,0.06818181818181818
209,"Tesla Cybertruck looks ready for production, ditches door handles in new image - HT Auto",2022-01-25,0.3612,0.16818181818181818,0.2646909090909091
222,Tesla: JPMorgan sued because the bank's execs hate Elon Musk - Business Insider,2022-01-25,-0.5719,-0.8,-0.6859500000000001
235,Why Do People Modify Their Tesla? - CleanTechnica,2022-01-26,0.0,0.0,0.0
