Date,Close/Last,Volume,Open,High,Low,PriceDifference
10/23/2023,212.08,150683400,$210.00,$216.98,$202.51,-4.439999999999998
10/20/2023,211.99,138010100,$217.01,$218.8606,$210.42,-0.09000000000000341
10/19/2023,220.11,170772700,$225.95,$230.61,$216.78,8.120000000000005
10/18/2023,242.68,125147800,$252.70,$254.63,$242.08,22.569999999999993
10/17/2023,254.85,93562910,$250.10,$257.183,$247.08,12.169999999999987
10/16/2023,253.92,88917180,$250.05,$255.3999,$248.48,-0.9300000000000068
10/13/2023,251.12,102296800,$258.90,$259.60,$250.22,-2.799999999999983
10/12/2023,258.87,111508100,$262.92,$265.41,$256.6307,7.75
10/11/2023,262.99,103706300,$266.20,$268.60,$260.90,4.1200000000000045
10/10/2023,263.62,122656000,$257.75,$268.94,$257.65,0.6299999999999955
10/09/2023,259.67,101377900,$255.31,$261.36,$252.05,-3.9499999999999886
10/06/2023,260.53,118121800,$253.98,$261.65,$250.65,0.8599999999999568
10/05/2023,260.05,119159200,$260.00,$263.60,$256.25,-0.47999999999996135
10/04/2023,261.16,129721600,$248.14,$261.86,$247.60,1.1100000000000136
10/03/2023,246.53,101985300,$248.61,$250.02,$244.45,-14.630000000000024
10/02/2023,251.6,123810400,$244.81,$254.2799,$242.62,5.069999999999993
09/29/2023,250.22,128522700,$250.00,$254.77,$246.35,-1.3799999999999955
09/28/2023,246.38,117058900,$240.02,$247.55,$238.65,-3.8400000000000034
09/27/2023,240.5,136597200,$244.262,$245.33,$234.58,-5.8799999999999955
09/26/2023,244.12,101993600,$242.98,$249.55,$241.6601,3.6200000000000045
09/25/2023,246.99,104636600,$243.38,$247.10,$238.31,2.8700000000000045
09/22/2023,244.88,127524100,$257.40,$257.7888,$244.48,-2.1100000000000136
09/21/2023,255.7,119951500,$257.85,$260.86,$254.21,10.819999999999993
09/20/2023,262.59,122514600,$267.04,$273.93,$262.4606,6.889999999999986
09/19/2023,266.5,103704000,$264.35,$267.85,$261.20,3.910000000000025
09/18/2023,265.28,101543300,$271.16,$271.44,$263.7601,-1.2200000000000273
09/15/2023,274.39,133692300,$277.55,$278.98,$271.00,9.110000000000014
09/14/2023,276.04,107709800,$271.32,$276.7094,$270.42,1.650000000000034
09/13/2023,271.3,111673700,$270.07,$274.98,$268.10,-4.740000000000009
09/12/2023,267.48,135999900,$270.76,$278.39,$266.60,-3.819999999999993
09/11/2023,273.58,174667900,$264.27,$274.85,$260.61,6.099999999999966
09/08/2023,248.5,118559600,$251.22,$256.52,$246.67,-25.079999999999984
09/07/2023,251.49,115312900,$245.07,$252.81,$243.265,2.990000000000009
09/06/2023,251.92,116959800,$255.135,$255.39,$245.06,0.4299999999999784
09/05/2023,256.49,129469600,$245.00,$258.00,$244.86,4.570000000000022
09/01/2023,245.01,132541600,$257.26,$259.0794,$242.01,-11.480000000000018
08/31/2023,258.08,108861700,$255.98,$261.18,$255.05,13.069999999999993
08/30/2023,256.9,121988400,$254.20,$260.51,$250.59,-1.1800000000000068
08/29/2023,257.18,134047600,$238.58,$257.48,$237.77,0.28000000000002956
08/28/2023,238.82,107673700,$242.58,$244.38,$235.35,-18.360000000000014
08/25/2023,238.59,106612200,$231.31,$239.00,$230.35,-0.22999999999998977
08/24/2023,230.04,99777430,$238.66,$238.92,$228.1801,-8.550000000000011
08/23/2023,236.86,101077600,$229.34,$238.98,$229.29,6.820000000000022
08/22/2023,233.19,130597900,$240.25,$240.82,$229.55,-3.670000000000016
08/21/2023,231.28,135702700,$221.5512,$232.1343,$220.58,-1.9099999999999966
08/18/2023,215.49,136276600,$214.12,$217.58,$212.36,-15.789999999999992
08/17/2023,219.22,120718400,$226.06,$226.74,$218.83,3.7299999999999898
08/16/2023,225.6,112484500,$228.02,$233.97,$225.38,6.3799999999999955
08/15/2023,232.96,88197600,$238.73,$240.50,$232.61,7.360000000000014
08/14/2023,239.76,98595330,$235.70,$240.66,$233.75,6.799999999999983
08/11/2023,242.65,99038640,$241.77,$243.79,$238.02,2.890000000000015
08/10/2023,245.34,109498600,$245.40,$251.80,$243.00,2.6899999999999977
08/09/2023,242.19,101596300,$250.87,$251.10,$241.90,-3.1500000000000057
08/08/2023,249.7,96642180,$247.45,$250.92,$245.01,7.509999999999991
08/07/2023,251.45,111097900,$251.45,$253.6511,$242.76,1.75
08/04/2023,253.86,99539910,$260.97,$264.77,$253.11,2.410000000000025
08/03/2023,259.32,97829550,$252.04,$260.49,$252.00,5.4599999999999795
08/02/2023,254.11,101752900,$255.57,$259.52,$250.49,-5.2099999999999795
08/01/2023,261.07,83645720,$266.26,$266.47,$260.25,6.9599999999999795
07/31/2023,267.43,84582170,$267.48,$269.08,$263.78,6.360000000000014
07/28/2023,266.44,111446000,$259.86,$267.25,$258.2312,-0.9900000000000091
07/27/2023,255.71,103697300,$268.31,$269.13,$255.30,-10.72999999999999
07/26/2023,264.35,95856180,$263.25,$268.04,$261.75,8.640000000000015
07/25/2023,265.28,112757300,$272.38,$272.90,$265.00,0.92999999999995
07/24/2023,269.06,137005000,$255.85,$269.85,$254.12,3.7800000000000296
07/21/2023,260.02,161796100,$268.00,$268.00,$255.80,-9.04000000000002
07/20/2023,262.9,175158300,$279.56,$280.93,$261.20,2.8799999999999955
07/19/2023,291.26,142355400,$296.04,$299.29,$289.5201,28.360000000000014
07/18/2023,293.34,112434700,$290.15,$295.26,$286.01,2.079999999999984
07/17/2023,290.38,131569600,$286.625,$292.23,$283.57,-2.9599999999999795
07/14/2023,281.38,120062400,$277.01,$285.30,$276.31,-9.0
07/13/2023,277.9,112681500,$274.59,$279.45,$270.60,-3.480000000000018
07/12/2023,271.99,95672140,$276.325,$276.52,$271.46,-5.909999999999968
07/11/2023,269.79,91972360,$268.65,$270.90,$266.37,-2.1999999999999886
07/10/2023,269.61,119425400,$276.47,$277.52,$265.10,-0.18000000000000682
07/07/2023,274.43,113879200,$278.43,$280.78,$273.77,4.819999999999993
07/06/2023,276.54,120707400,$278.09,$279.97,$272.88,2.1100000000000136
07/05/2023,282.48,131530900,$278.82,$283.85,$277.60,5.939999999999998
07/03/2023,279.82,118999000,$276.49,$284.25,$275.11,-2.660000000000025
06/30/2023,261.77,112620800,$260.60,$264.45,$259.89,-18.05000000000001
06/29/2023,257.5,131283400,$258.03,$260.74,$253.61,-4.269999999999982
06/28/2023,256.24,159770800,$249.70,$259.88,$248.89,-1.259999999999991
06/27/2023,250.21,164968200,$243.24,$250.3899,$240.85,-6.030000000000001
06/26/2023,241.05,179990600,$250.065,$258.37,$240.70,-9.159999999999997
06/23/2023,256.6,177460800,$259.29,$262.45,$252.80,15.550000000000011
06/22/2023,264.61,166875900,$250.77,$265.00,$248.25,8.009999999999991
06/21/2023,259.46,211797100,$275.13,$276.99,$257.78,-5.150000000000034
06/20/2023,274.45,165611200,$261.50,$274.75,$261.12,14.990000000000009
06/16/2023,260.54,167915600,$258.92,$263.60,$257.2091,-13.909999999999968
06/15/2023,255.9,160171200,$248.40,$258.95,$247.29,-4.640000000000015
06/14/2023,256.79,170575500,$260.17,$261.57,$250.50,0.8900000000000148
06/13/2023,258.71,162384300,$253.51,$259.68,$251.34,1.919999999999959
06/12/2023,249.83,150740500,$247.94,$250.97,$244.59,-8.879999999999967
06/09/2023,244.4,200242400,$249.07,$252.42,$242.02,-5.430000000000007
06/08/2023,234.86,164489700,$224.22,$235.23,$223.01,-9.539999999999992
06/07/2023,224.57,185710800,$228.00,$230.8296,$223.20,-10.29000000000002
06/06/2023,221.31,146911600,$216.14,$221.91,$212.53,-3.259999999999991
06/05/2023,217.61,151143100,$217.80,$221.29,$214.52,-3.6999999999999886
06/02/2023,213.97,164398400,$210.15,$217.25,$209.752,-3.640000000000015
06/01/2023,207.52,148029900,$202.59,$209.80,$199.37,-6.449999999999989
05/31/2023,203.93,150711700,$199.78,$203.95,$195.12,-3.5900000000000034
05/30/2023,201.16,128818700,$200.10,$204.48,$197.53,-2.7700000000000102
05/26/2023,193.17,162061500,$184.62,$198.60,$184.53,-7.990000000000009
05/25/2023,184.47,96870720,$186.54,$186.78,$180.58,-8.699999999999989
05/24/2023,182.9,137605100,$182.23,$184.22,$178.22,-1.5699999999999932
05/23/2023,185.77,156952100,$186.20,$192.96,$185.26,2.8700000000000045
05/22/2023,188.87,132001400,$180.70,$189.32,$180.11,3.0999999999999943
05/19/2023,180.14,136196700,$177.17,$181.95,$176.31,-8.730000000000018
05/18/2023,176.89,109520300,$174.22,$177.06,$172.45,-3.25
05/17/2023,173.86,125473600,$168.41,$174.50,$167.185,-3.0299999999999727
05/16/2023,166.52,98288790,$165.65,$169.5184,$164.35,-7.340000000000003
05/15/2023,166.35,105592500,$167.655,$169.76,$164.5499,-0.17000000000001592
05/12/2023,167.98,157849600,$176.07,$177.38,$167.23,1.6299999999999955
05/11/2023,172.08,103889900,$168.70,$173.57,$166.79,4.100000000000023
05/10/2023,168.54,119840700,$172.55,$174.43,$166.68,-3.5400000000000205
05/09/2023,169.15,88965040,$168.95,$169.82,$166.56,0.6100000000000136
05/08/2023,171.79,112249400,$173.72,$173.80,$169.19,2.6399999999999864
05/05/2023,170.06,107607300,$163.97,$170.7899,$163.51,-1.7299999999999898
05/04/2023,161.2,95108490,$162.71,$162.95,$159.65,-8.860000000000014
05/03/2023,160.61,119728000,$160.01,$165.00,$159.91,-0.589999999999975
05/02/2023,160.31,128259700,$161.88,$165.49,$158.93,-0.30000000000001137
05/01/2023,161.83,109015000,$163.17,$163.28,$158.83,1.5200000000000102
04/28/2023,164.31,122515800,$160.90,$165.00,$157.32,2.4799999999999898
04/27/2023,160.19,127015200,$152.64,$160.48,$152.37,-4.1200000000000045
04/26/2023,153.75,153364100,$160.29,$160.67,$153.14,-6.439999999999998
04/25/2023,160.67,121999300,$159.82,$163.47,$158.75,6.9199999999999875
04/24/2023,162.55,140006600,$164.65,$165.65,$158.61,1.8800000000000239
04/21/2023,165.08,123539000,$164.80,$166.00,$161.3208,2.530000000000001
04/20/2023,162.99,210970800,$166.165,$169.70,$160.56,-2.0900000000000034
04/19/2023,180.59,125732700,$179.10,$183.50,$177.65,17.599999999999994
04/18/2023,184.31,92067020,$187.15,$187.69,$183.5775,3.719999999999999
04/17/2023,187.04,116662200,$186.32,$189.69,$182.69,2.7299999999999898
04/14/2023,185.0,96438660,$183.95,$186.28,$182.01,-2.039999999999992
04/13/2023,185.9,112933000,$182.955,$186.50,$180.94,0.9000000000000057
04/12/2023,180.54,150256300,$190.74,$191.5846,$180.31,-5.360000000000014
04/11/2023,186.79,115770900,$186.69,$189.19,$185.6475,6.25
04/10/2023,184.51,142154600,$179.94,$185.10,$176.11,-2.280000000000001
04/06/2023,185.06,123857900,$183.08,$186.39,$179.74,0.5500000000000114
04/05/2023,185.52,133882500,$190.515,$190.68,$183.76,0.46000000000000796
04/04/2023,192.58,126463800,$197.32,$198.7446,$190.32,7.060000000000002
04/03/2023,194.77,169545900,$199.91,$202.6897,$192.20,2.1899999999999977
03/31/2023,207.46,170222100,$197.53,$207.79,$197.20,12.689999999999998
03/30/2023,195.28,110252200,$195.58,$197.33,$194.42,-12.180000000000007
03/29/2023,193.88,123660000,$193.13,$195.29,$189.44,-1.4000000000000057
03/28/2023,189.19,98654640,$192.00,$192.35,$185.43,-4.689999999999998
03/27/2023,191.81,120851600,$194.415,$197.39,$189.94,2.6200000000000045
03/24/2023,190.41,116531600,$191.65,$192.36,$187.15,-1.4000000000000057
03/23/2023,192.22,144193900,$195.26,$199.31,$188.65,1.8100000000000023
03/22/2023,191.15,150376400,$199.30,$200.66,$190.95,-1.0699999999999932
03/21/2023,197.58,153391400,$188.28,$198.00,$188.04,6.430000000000007
03/20/2023,183.25,129684400,$178.08,$186.44,$176.35,-14.330000000000013
03/17/2023,180.13,133197100,$184.515,$186.2199,$177.33,-3.1200000000000045
03/16/2023,184.13,121374500,$180.365,$185.81,$178.84,4.0
03/15/2023,180.45,145995600,$180.80,$182.34,$176.03,-3.680000000000007
03/14/2023,183.26,143717900,$177.31,$183.80,$177.1401,2.8100000000000023
03/13/2023,174.48,167790300,$167.455,$177.35,$163.91,-8.780000000000001
03/10/2023,173.44,191488900,$175.13,$178.29,$168.44,-1.039999999999992
03/09/2023,172.92,170023800,$180.25,$185.18,$172.5124,-0.5200000000000102
03/08/2023,182.0,151897800,$185.04,$186.50,$180.00,9.080000000000013
03/07/2023,187.71,148125800,$191.38,$194.20,$186.10,5.710000000000008
03/06/2023,193.81,128100100,$198.54,$198.60,$192.30,6.099999999999994
03/03/2023,197.79,154193300,$194.795,$200.48,$192.88,3.9799999999999898
03/02/2023,190.9,181979200,$186.74,$193.7499,$186.01,-6.889999999999986
03/01/2023,202.77,156852800,$206.21,$207.20,$198.52,11.870000000000005
02/28/2023,205.71,153144900,$210.59,$211.23,$203.75,2.9399999999999977
02/27/2023,207.63,161028300,$202.03,$209.42,$201.26,1.9199999999999875
02/24/2023,196.88,142228100,$196.325,$197.6695,$192.80,-10.75
02/23/2023,202.07,146360000,$203.91,$205.14,$196.33,5.189999999999998
02/22/2023,200.86,191828500,$197.93,$201.99,$191.78,-1.2099999999999795
02/21/2023,197.37,180018600,$204.99,$209.71,$197.22,-3.490000000000009
02/17/2023,208.31,213738500,$199.985,$208.44,$197.50,10.939999999999998
02/16/2023,202.04,229586500,$210.78,$217.65,$201.84,-6.27000000000001
02/15/2023,214.24,182108600,$211.755,$214.66,$206.11,12.200000000000017
02/14/2023,209.25,216455700,$191.94,$209.82,$189.44,-4.990000000000009
02/13/2023,194.64,172475500,$194.415,$196.30,$187.61,-14.610000000000014
02/10/2023,196.89,204754100,$202.225,$206.20,$192.89,2.25
02/09/2023,207.32,215431400,$207.775,$214.00,$204.77,10.430000000000007
02/08/2023,201.29,180673600,$196.10,$203.00,$194.31,-6.030000000000001
02/07/2023,196.81,186010300,$196.43,$197.50,$189.55,-4.47999999999999
02/06/2023,194.76,186188100,$193.01,$198.17,$189.92,-2.0500000000000114
02/03/2023,189.98,232662000,$183.95,$199.00,$183.69,-4.780000000000001
02/02/2023,188.27,217448300,$187.325,$196.7501,$182.61,-1.7099999999999795
02/01/2023,181.41,213806300,$173.89,$183.805,$169.93,-6.860000000000014
01/31/2023,173.22,196813500,$164.57,$174.30,$162.78,-8.189999999999998
01/30/2023,166.66,230878800,$178.05,$179.77,$166.50,-6.560000000000002
01/27/2023,177.9,306590600,$162.43,$180.68,$161.17,11.240000000000009
01/26/2023,160.27,234815100,$159.965,$161.42,$154.76,-17.629999999999995
01/25/2023,144.43,192734300,$141.905,$146.41,$138.07,-15.840000000000003
01/24/2023,143.89,158699100,$143.00,$146.50,$141.10,-0.5400000000000205
01/23/2023,143.75,203119200,$135.87,$145.3793,$134.27,-0.13999999999998636
01/20/2023,133.42,138858100,$128.68,$133.51,$127.3466,-10.330000000000013
01/19/2023,127.17,170291900,$127.26,$129.99,$124.3082,-6.249999999999986
01/18/2023,128.78,195680300,$136.555,$136.68,$127.01,1.6099999999999994
01/17/2023,131.49,186477000,$125.695,$131.70,$125.02,2.710000000000008
01/13/2023,122.4,180714100,$116.55,$122.63,$115.60,-9.090000000000003
01/12/2023,123.56,169400900,$122.56,$124.1311,$117.00,1.1599999999999966
01/11/2023,123.22,183810800,$122.09,$125.95,$120.51,-0.3400000000000034
01/10/2023,118.85,167642500,$121.07,$122.76,$114.92,-4.3700000000000045
01/09/2023,119.77,190284000,$118.96,$123.52,$117.11,0.9200000000000017
01/06/2023,113.06,220911100,$103.00,$114.39,$101.81,-6.709999999999994
01/05/2023,110.34,157986300,$110.51,$111.75,$107.1601,-2.719999999999999
01/04/2023,113.64,180389000,$109.11,$114.59,$107.52,3.299999999999997
01/03/2023,108.1,231402800,$118.47,$118.80,$104.64,-5.540000000000006
12/30/2022,123.18,157777300,$119.95,$124.48,$119.75,15.080000000000013
12/29/2022,121.82,221923300,$120.385,$123.57,$117.495,-1.3600000000000136
12/28/2022,112.71,221070500,$110.35,$116.27,$108.24,-9.11
12/27/2022,109.1,208643400,$117.495,$119.67,$108.76,-3.6099999999999994
12/23/2022,123.15,166989700,$126.37,$128.6173,$121.02,14.050000000000011
12/22/2022,125.35,210090300,$136.00,$136.63,$122.26,2.1999999999999886
12/21/2022,137.57,145417400,$139.335,$141.26,$135.89,12.219999999999999
12/20/2022,137.8,159563300,$146.05,$148.47,$137.66,0.2300000000000182
12/19/2022,149.87,139390600,$154.00,$155.25,$145.82,12.069999999999993
12/16/2022,150.23,139032200,$159.635,$160.99,$150.04,0.3599999999999852
12/15/2022,157.67,122334500,$153.44,$160.9299,$153.28,7.439999999999998
12/14/2022,156.8,140682300,$159.25,$161.62,$155.31,-0.8699999999999761
12/13/2022,160.95,175862700,$174.87,$175.05,$156.91,4.149999999999977
12/12/2022,167.82,109794500,$176.10,$177.37,$167.52,6.8700000000000045
12/09/2022,179.05,104872300,$173.84,$182.50,$173.36,11.230000000000018
12/08/2022,173.44,97624490,$172.20,$175.20,$169.06,-5.610000000000014
12/07/2022,174.04,84213280,$175.03,$179.38,$172.218,0.5999999999999943
12/06/2022,179.82,92150820,$181.215,$183.65,$175.33,5.780000000000001
12/05/2022,182.45,93122670,$189.44,$191.27,$180.55,2.6299999999999955
12/02/2022,194.86,73645920,$191.78,$196.25,$191.11,12.410000000000025
12/01/2022,194.7,80046210,$197.08,$198.92,$191.80,-0.160000000000025
11/30/2022,194.7,109186400,$182.43,$194.76,$180.6301,0.0
11/29/2022,180.83,83357110,$184.99,$186.38,$178.75,-13.869999999999976
11/28/2022,182.92,93038150,$179.96,$188.50,$179.00,2.089999999999975
11/25/2022,182.86,50672740,$185.06,$185.20,$180.63,-0.05999999999997385
11/23/2022,183.2,109536700,$173.57,$183.62,$172.50,0.339999999999975
11/22/2022,169.91,78452330,$168.63,$170.92,$166.185,-13.289999999999992
11/21/2022,167.87,92882710,$175.85,$176.77,$167.54,-2.039999999999992
11/18/2022,180.19,76048870,$185.05,$185.19,$176.55,12.319999999999993
11/17/2022,183.17,64335970,$183.96,$186.16,$180.90,2.9799999999999898
11/16/2022,186.92,66567600,$191.51,$192.57,$185.66,3.75
11/15/2022,194.42,91293790,$195.88,$200.8237,$192.06,7.5
11/14/2022,190.95,92226650,$192.77,$195.73,$186.34,-3.469999999999999
11/11/2022,195.97,114403600,$186.00,$196.52,$182.59,5.02000000000001
11/10/2022,190.72,132703000,$189.90,$191.00,$180.03,-5.25
11/09/2022,177.59,127062700,$190.775,$195.89,$177.12,-13.129999999999995
11/08/2022,191.3,128803400,$194.02,$195.20,$186.75,13.710000000000008
11/07/2022,197.08,93916520,$208.65,$208.90,$196.66,5.780000000000001
11/04/2022,207.47,98622210,$222.60,$223.80,$203.08,10.389999999999986
11/03/2022,215.31,56538850,$211.36,$221.20,$210.14,7.840000000000003
11/02/2022,214.98,63070290,$226.04,$227.8699,$214.82,-0.3300000000000125
11/01/2022,227.82,62688820,$234.05,$237.3951,$227.28,12.840000000000003
10/31/2022,227.54,61554340,$226.19,$229.85,$221.94,-0.28000000000000114
10/28/2022,228.52,69152390,$225.40,$228.86,$216.35,0.9800000000000182
10/27/2022,225.09,61638820,$229.77,$233.81,$222.85,-3.430000000000007
10/26/2022,224.64,85327080,$219.40,$230.60,$218.20,-0.45000000000001705
10/25/2022,222.415,96507870,$210.10,$224.3498,$210.00,-2.2249999999999943
10/24/2022,211.25,100446800,$205.82,$213.50,$198.5863,-11.164999999999992
10/21/2022,214.44,75713750,$206.415,$214.66,$203.80,3.1899999999999977
10/20/2022,207.28,117798100,$208.28,$215.55,$202.00,-7.159999999999997
10/19/2022,222.04,66571480,$219.80,$222.93,$217.78,14.759999999999991
10/18/2022,220.19,75891910,$229.50,$229.82,$217.25,-1.8499999999999943
10/17/2022,219.35,79428810,$210.04,$221.86,$209.45,-0.8400000000000034
10/14/2022,204.99,94124510,$224.01,$226.26,$204.16,-14.359999999999985
10/13/2022,221.72,91483050,$208.30,$222.99,$206.22,16.72999999999999
10/12/2022,217.24,66860700,$215.33,$219.2999,$211.51,-4.47999999999999
10/11/2022,216.5,77013200,$220.945,$225.75,$215.00,-0.7400000000000091
10/10/2022,222.96,67925020,$223.93,$226.99,$218.3582,6.460000000000008
10/07/2022,223.07,83916800,$233.935,$234.5715,$222.02,0.10999999999998522
10/06/2022,238.13,69298440,$239.44,$244.58,$235.35,15.060000000000002
10/05/2022,240.81,86982670,$245.01,$246.6697,$233.27,2.680000000000007
10/04/2022,249.44,109578500,$250.52,$257.50,$242.01,8.629999999999995
10/03/2022,242.4,98363540,$254.50,$255.16,$241.01,-7.039999999999992
09/30/2022,265.25,67726600,$266.145,$275.57,$262.47,22.849999999999994
09/29/2022,268.21,77620640,$282.76,$283.65,$265.78,2.9599999999999795
09/28/2022,287.81,54664810,$283.08,$289.00,$277.57,19.600000000000023
09/27/2022,282.94,61925190,$283.84,$288.67,$277.51,-4.8700000000000045
09/26/2022,276.01,58076910,$271.83,$284.09,$270.31,-6.930000000000007
09/23/2022,275.33,63748360,$283.09,$284.50,$272.82,-0.6800000000000068
09/22/2022,288.59,70545410,$299.86,$301.29,$285.82,13.259999999999991
09/21/2022,300.8,62555660,$308.29,$313.80,$300.63,12.210000000000036
09/20/2022,308.73,61642780,$306.91,$313.33,$305.58,7.930000000000007
09/19/2022,309.07,60231160,$300.09,$309.84,$297.80,0.339999999999975
09/16/2022,303.35,87087790,$299.605,$303.71,$295.6005,-5.71999999999997
09/15/2022,303.75,64795520,$301.825,$309.12,$300.7247,0.39999999999997726
09/14/2022,302.61,72628650,$292.24,$306.00,$291.64,-1.1399999999999864
09/13/2022,292.13,68229620,$292.90,$297.3999,$290.40,-10.480000000000018
09/12/2022,304.42,48674600,$300.72,$305.49,$300.40,12.29000000000002
09/09/2022,299.68,54470850,$291.67,$299.85,$291.245,-4.740000000000009
09/08/2022,289.26,53713120,$281.30,$289.50,$279.76,-10.420000000000016
09/07/2022,283.7,50028920,$273.10,$283.84,$272.27,-5.560000000000002
09/06/2022,274.42,55859980,$272.675,$275.99,$265.74,-9.279999999999973
09/02/2022,270.21,50890090,$281.065,$282.35,$269.08,-4.210000000000036
09/01/2022,277.16,54287020,$272.575,$277.58,$266.15,6.9500000000000455
08/31/2022,275.61,52107340,$280.62,$281.25,$271.81,-1.5500000000000114
08/30/2022,277.7,50541760,$287.865,$288.48,$272.65,2.089999999999975
08/29/2022,284.82,41864740,$282.83,$287.74,$280.70,7.1200000000000045
08/26/2022,288.09,57163950,$297.43,$302.00,$287.47,3.269999999999982
08/25/2022,296.07,53230010,$302.36,$302.96,$291.60,7.980000000000018
08/24/2022,297.0966,57259716,$297.5633,$303.6466,$296.50,1.0266000000000304
08/23/2022,296.4533,63985056,$291.4533,$298.8266,$287.9233,-0.6433000000000106
08/22/2022,289.9133,55843356,$291.9133,$292.40,$286.2966,-6.5400000000000205
08/19/2022,296.6666,61395396,$299.00,$300.36,$292.50,6.753300000000024
08/18/2022,302.87,47500535,$306.00,$306.50,$301.8533,6.203399999999988
08/17/2022,303.9966,68765977,$303.3966,$309.6566,$300.0333,1.1265999999999963
08/16/2022,306.5633,88136319,$311.6666,$314.6666,$302.8833,2.5667000000000257
08/15/2022,309.32,89359179,$301.7866,$313.1333,$301.23,2.7566999999999666
08/12/2022,300.03,79657298,$289.415,$300.16,$285.0333,-9.29000000000002
08/11/2022,286.63,70155067,$296.5133,$298.2366,$285.8333,-13.399999999999977
08/10/2022,294.3566,94918869,$297.0666,$297.51,$283.37,7.726600000000019
08/09/2022,283.3333,86244699,$290.2933,$292.3966,$279.3533,-11.023300000000006
08/08/2022,290.4233,99365290,$295.00,$305.20,$289.0854,7.089999999999975
08/05/2022,288.17,113172911,$302.67,$304.6066,$285.5446,-2.2532999999999674
08/04/2022,308.6333,72256327,$311.00,$313.6066,$305.00,20.463300000000004
08/03/2022,307.3966,80091128,$305.00,$309.55,$301.15,-1.2367000000000417
08/02/2022,300.5866,95577490,$294.0033,$307.8333,$292.6666,-6.810000000000002
08/01/2022,297.2766,117042912,$301.275,$311.8782,$295.00,-3.3100000000000023
07/29/2022,297.15,95312890,$280.70,$298.32,$279.10,-0.12659999999999627
07/28/2022,280.9,84723008,$280.0666,$283.30,$272.80,-16.25
07/27/2022,274.82,88110009,$263.81,$275.9256,$261.79,-6.079999999999984
07/26/2022,258.86,66820777,$266.5133,$267.3099,$256.2633,-15.95999999999998
07/25/2022,268.4333,64073526,$272.2166,$274.1466,$267.40,9.57329999999996
07/22/2022,272.2433,103472860,$276.22,$280.7866,$270.7133,3.8100000000000023
07/21/2022,271.7066,142032194,$255.1066,$273.2666,$254.8666,-0.5366999999999962
07/20/2022,247.5,88864089,$246.7833,$250.6633,$243.483,-24.20659999999998
07/19/2022,245.53,80890118,$245.00,$247.14,$236.9766,-1.9699999999999989
07/18/2022,240.5466,82537448,$244.9366,$250.5166,$239.6033,-4.983399999999989
07/15/2022,240.0666,69683017,$240.00,$243.6233,$236.89,-0.4800000000000182
07/14/2022,238.3133,78557498,$234.8966,$238.6533,$229.3333,-1.7532999999999959
07/13/2022,237.04,97954510,$225.50,$242.0599,$225.0333,-1.273300000000006
07/12/2022,233.07,87930969,$236.8466,$239.7733,$228.3683,-3.969999999999999
07/11/2022,234.3433,99509230,$252.1033,$253.0633,$233.6266,1.273300000000006
07/08/2022,250.7633,101854090,$242.3333,$254.9799,$241.1614,16.419999999999987
07/07/2022,244.5433,81930698,$233.92,$245.3616,$232.21,-6.219999999999999
07/06/2022,231.7333,71853637,$230.78,$234.5633,$227.1866,-12.809999999999974
